source,key/id,uk,ru,en,pl,note
dict,Оцінка,Оцінка,Оценка,Rating,Ocena,
dict,Оцінка дня,Оцінка дня,Оценка дня,Day rating,Ocena dnia,
dict,оцінка за день,оцінка за день,оценка за день,rating per day,ocena na dzień,
dict,Оцінка сьогодні,Оцінка сьогодні,Оценка сегодня,Today's rating,Ocena dziś,
dict,Оцінки,Оцінки,Оценки,Ratings,Oceny,
dict,Оцінки · 7 днів,Оцінки · 7 днів,Оценки · 7 дней,Ratings · 7 days,Oceny · 7 dni,
dict,Оцінки днів,Оцінки днів,Оценки дней,Day ratings,Oceny dni,
dict,оцінки за день,оцінки за день,оценки за день,ratings per day,oceny dziennie,
dict,оцінки за тиждень,оцінки за тиждень,оценки за неделю,ratings per week,oceny tygodniowo,
dict,Оцінки по днях,Оцінки по днях,Оценки по дням,Ratings by day,Oceny wg dni,
dict,Оцінки по днях з коментарем,Оцінки по днях з коментарем,Оценки по дням с комментарием,Ratings by day with comments,Oceny wg dni z komentarzem,
dict,Оцінки і коментарі,Оцінки і коментарі,Оценки и комментарии,Ratings and comments,Oceny i komentarze,
dict,Оцінку збережено,Оцінку збережено,Оценка сохранена,Rating saved,Ocena zapisana,
dict,"Оцінюй самопочуття вранці, вдень і ввечері — і бачитимеш динаміку за тиждень, а помічник враховуватиме її в порадах.","Оцінюй самопочуття вранці, вдень і ввечері — і бачитимеш динаміку за тиждень, а помічник враховуватиме її в порадах.","Оценивай самочувствие утром, днём и вечером — и увидишь динамику за неделю, а помощник будет учитывать её в советах.","Rate how you feel in the morning, midday and evening — you’ll see the weekly trend, and the assistant will factor it into its tips.","Oceniaj samopoczucie rano, w południe i wieczorem — zobaczysz tygodniowy trend, a asystent uwzględni go w poradach.",term:помічник/наставник?
dict,Очки навичок,Очки навичок,Очки навыков,Skill points,Punkty umiejętności,
dict,очок розвитку,очок розвитку,очков развития,development XP,pkt rozwoju,
dict,Пам'ять,Пам'ять,Память,Memory,Pamięć,
dict,Пароль,Пароль,Пароль,Password,Hasło,ru=uk?
dict,Пароль має бути від 6 символів.,Пароль має бути від 6 символів.,Пароль должен быть от 6 символов.,Password must be at least 6 characters.,Hasło musi mieć co najmniej 6 znaków.,
dict,Пароль має бути від 8 символів.,Пароль має бути від 8 символів.,Пароль должен быть от 8 символов.,Password must be at least 8 characters.,Hasło musi mieć co najmniej 8 znaków.,
dict,Пароль оновлено.,Пароль оновлено.,Пароль обновлён.,Password updated.,Hasło zaktualizowane.,
dict,Пауза,Пауза,Пауза,Pause,Pauza,ru=uk?
dict,Передпліччя,Передпліччя,Предплечья,Forearms,Przedramiona,
dict,"Передпліччя й носки на підлозі, тіло — пряма лінія від голови до пʼят. Не провисай у попереку, дихай рівно. Тримай, скільки можеш із гарною технікою.","Передпліччя й носки на підлозі, тіло — пряма лінія від голови до пʼят. Не провисай у попереку, дихай рівно. Тримай, скільки можеш із гарною технікою.","Предплечья и носки на полу, тело — прямая линия от головы до пят. Не провисай в пояснице, дыши ровно. Держи, сколько можешь с хорошей техникой.","Forearms and toes on the floor, body a straight line from head to heels. Don't sag at the lower back, breathe evenly. Hold as long as you can with good form.","Przedramiona i palce stóp na podłodze, ciało — prosta linia od głowy do pięt. Nie zapadaj się w lędźwiach, oddychaj równo. Trzymaj tak długo, jak możesz z dobrą techniką.",
dict,Перейменувати,Перейменувати,Переименовать,Rename,Zmień nazwę,
dict,Перейти до Розвитку,Перейти до Розвитку,Перейти к Развитию,Go to Growth,Przejdź do Rozwoju,
dict,Перейти до Цілей ›,Перейти до Цілей ›,Перейти к Целям ›,Go to Goals ›,Przejdź do Celów ›,
dict,Перша вправа,Перша вправа,Первое упражнение,First exercise,Pierwsze ćwiczenie,
dict,Перша затримка,Перша затримка,Первая задержка,First hold,Pierwsze wstrzymanie,
dict,Перша книга,Перша книга,Первая книга,First book,Pierwsza książka,
dict,Перша медитація,Перша медитація,Первая медитация,First meditation,Pierwsza medytacja,
dict,Перша практика!,Перша практика!,Первая практика!,First practice!,Pierwsza praktyka!,
dict,Перший холод,Перший холод,Первый холод,First cold,Pierwsze zimno,
dict,Період,Період,Период,Period,Okres,
dict,Період: ,Період: ,Период: ,Period: ,Okres: ,
dict,Планка,Планка,Планка,Plank,Deska,ru=uk?
dict,"Планка, прогин — утримання","Планка, прогин — утримання","Планка, прогиб — удержание","Plank, backbend — holds","Deska, wygięcie — wytrzymania",
dict,Плечі,Плечі,Плечи,Shoulders,Ramiona,
dict,Пн,Пн,Пн,Mo,Pon,
dict,По черзі напружуй (~7 с) і повністю розслабляй (~12 с) групи м'язів — від кистей до стоп. Не напружуйся до болю.,По черзі напружуй (~7 с) і повністю розслабляй (~12 с) групи м'язів — від кистей до стоп. Не напружуйся до болю.,По очереди напрягай (~7 с) и полностью расслабляй (~12 с) группы мышц — от кистей до стоп. Не напрягайся до боли.,"In turn, tense (~7 s) and fully relax (~12 s) each muscle group — from hands to feet. Don’t tense to the point of pain.",Po kolei napinaj (~7 s) i całkowicie rozluźniaj (~12 s) grupy mięśni — od dłoni do stóp. Nie napinaj do bólu.,
dict,Побудь у повному розслабленні. Все тіло відпочиває.,Побудь у повному розслабленні. Все тіло відпочиває.,Побудь в полном расслаблении. Всё тело отдыхает.,Rest in full relaxation. Your whole body is at rest.,Pozostań w pełnym rozluźnieniu. Całe ciało odpoczywa.,
dict,Побудь у спокої. Потім повільно поворуши пальцями й розплющ очі.,Побудь у спокої. Потім повільно поворуши пальцями й розплющ очі.,Побудь в покое. Затем медленно пошевели пальцами и открой глаза.,Rest in stillness. Then slowly move your fingers and open your eyes.,Pozostań w spokoju. Potem powoli porusz palcami i otwórz oczy.,
dict,Повертає у момент «тут і зараз»,Повертає у момент «тут і зараз»,Возвращает в момент «здесь и сейчас»,Brings you back to the here and now,Przywraca do chwili „tu i teraz”,
dict,"Повисни на прямих руках, плечі активні. Розслаб хребет. Тримай, скільки комфортно для хвата.","Повисни на прямих руках, плечі активні. Розслаб хребет. Тримай, скільки комфортно для хвата.","Повисни на прямых руках, плечи активные. Расслабь позвоночник. Держи, сколько комфортно для хвата.","Hang on straight arms, shoulders active. Relax the spine. Hold as long as your grip is comfortable.","Zwiśnij na prostych rękach, barki aktywne. Rozluźnij kręgosłup. Trzymaj tak długo, jak komfortowo dla chwytu.",
dict,"Повністю відпусти напругу. Відчуй, як м'яз стає важким і теплим.","Повністю відпусти напругу. Відчуй, як м'яз стає важким і теплим.","Полностью отпусти напряжение. Почувствуй, как мышца становится тяжёлой и тёплой.",Fully release the tension. Feel the muscle grow heavy and warm.,"Całkowicie uwolnij napięcie. Poczuj, jak mięsień staje się ciężki i ciepły.",
dict,Повторюй подумки короткі формули про важкість і тепло в тілі — це вмикає розслаблення нервової системи.,Повторюй подумки короткі формули про важкість і тепло в тілі — це вмикає розслаблення нервової системи.,Повторяй мысленно короткие формулы о тяжести и тепле в теле — это включает расслабление нервной системы.,Silently repeat short formulas about heaviness and warmth in the body — this switches on relaxation of the nervous system.,Powtarzaj w myślach krótkie formuły o ciężkości i cieple w ciele — to uruchamia rozluźnienie układu nerwowego.,
dict,Повільне дихання близько 5–6 циклів за хвилину підвищує варіабельність серцевого ритму.,Повільне дихання близько 5–6 циклів за хвилину підвищує варіабельність серцевого ритму.,Медленное дыхание около 5–6 циклов в минуту повышает вариабельность сердечного ритма.,Slow breathing at about 5–6 cycles per minute raises heart rate variability.,"Powolny oddech, około 5–6 cykli na minutę, podnosi zmienność rytmu serca.",
dict,Повільне рівне дихання ~5.5 секунди вдих і видих (≈5.5 циклів за хвилину). Максимізує варіабельність серцевого ритму (HRV) — показник стресостійкості й балансу нервової системи.,Повільне рівне дихання ~5.5 секунди вдих і видих (≈5.5 циклів за хвилину). Максимізує варіабельність серцевого ритму (HRV) — показник стресостійкості й балансу нервової системи.,Медленное ровное дыхание ~5.5 секунды вдох и выдох (≈5.5 циклов в минуту). Максимизирует вариабельность сердечного ритма (HRV) — показатель стрессоустойчивости и баланса нервной системы.,"Slow, even breathing ~5.5 seconds in and out (≈5.5 cycles per minute). Maximizes heart rate variability (HRV) — a marker of stress resilience and nervous-system balance.","Powolny, równy oddech ~5,5 sekundy wdech i wydech (≈5,5 cyklu na minutę). Maksymalizuje zmienność rytmu serca (HRV) — wskaźnik odporności na stres i równowagi układu nerwowego.",
dict,Повільне рівне дихання за патерном на екрані.,Повільне рівне дихання за патерном на екрані.,Медленное ровное дыхание по паттерну на экране.,"Slow, even breathing following the on-screen pattern.","Powolny, równy oddech według wzoru na ekranie.",
dict,"Повільно проведи увагою по тілу від маківки до стоп, помічаючи й відпускаючи напругу в кожній ділянці.","Повільно проведи увагою по тілу від маківки до стоп, помічаючи й відпускаючи напругу в кожній ділянці.","Медленно проведи вниманием по телу от макушки до стоп, замечая и отпуская напряжение в каждой области.","Slowly move your attention through the body from crown to feet, noticing and releasing tension in each area.","Powoli przesuwaj uwagę przez ciało od czubka głowy do stóp, zauważając i uwalniając napięcie w każdym obszarze.",
dict,Погляд удалечінь і природа відновлюють фокус,Погляд удалечінь і природа відновлюють фокус,Взгляд вдаль и природа восстанавливают фокус,Distance and nature restore focus,Patrzenie w dal i natura przywracają skupienie,
dict,Подвійний вдих-зітхання знімає напругу швидко,Подвійний вдих-зітхання знімає напругу швидко,Двойной вдох-вздох быстро снимает напряжение,The double-inhale sigh relieves tension fast,Podwójny wdech-westchnienie szybko rozładowuje napięcie,
dict,Подвійний тап по екрану — завершити,Подвійний тап по екрану — завершити,Двойной тап по экрану — завершить,Double-tap the screen to finish,Podwójne dotknięcie ekranu — zakończ,
dict,Подовжений видих заспокоює,Подовжений видих заспокоює,Удлинённый выдох успокаивает,A longer exhale calms you,Wydłużony wydech uspokaja,
dict,"Позив вдихнути дає CO₂, не нестача кисню","Позив вдихнути дає CO₂, не нестача кисню","Позыв вдохнуть даёт CO₂, не нехватка кислорода","The urge comes from CO₂, not low oxygen","Chęć wdechu wywołuje CO₂, nie brak tlenu",
dict,"Познач лише дні, коли вжив (зрив). Решта вважаються чистими.","Познач лише дні, коли вжив (зрив). Решта вважаються чистими.",Отмечай только дни срыва. Остальные считаются чистыми.,Mark only the days you slipped. Everything else counts as clean.,Zaznaczaj tylko dni z wpadką. Reszta liczy się jako czyste.,
dict,Позначити зрив,Позначити зрив,Отметить срыв,Mark a slip,Zaznacz wpadkę,
dict,показати,показати,показать,show,pokaż,
dict,Показувати мій прогрес спільноті,Показувати мій прогрес спільноті,Показывать мой прогресс сообществу,Show my progress to the community,Pokazuj mój postęp społeczności,
dict,Поки немає новин.,Поки немає новин.,Пока нет новостей.,No news yet.,Na razie brak aktualności.,
dict,Поки немає нотаток. Постав оцінку дня на головній.,Поки немає нотаток. Постав оцінку дня на головній.,Пока нет заметок. Поставь оценку дня на главной.,No notes yet. Rate your day on the home screen.,Na razie brak notatek. Oceń dzień na ekranie głównym.,
dict,Поки немає оцінок. Постав оцінку дня на головній.,Поки немає оцінок. Постав оцінку дня на головній.,Пока нет оценок. Поставь оценку дня на главной.,No ratings yet. Rate a day on the home screen.,Brak ocen. Oceń dzień na ekranie głównym.,
dict,"Поки нічого. Додай книгу, яку читаєш зараз.","Поки нічого. Додай книгу, яку читаєш зараз.","Пока ничего. Добавь книгу, которую читаешь сейчас.",Nothing yet. Add a book you're reading now.,"Na razie nic. Dodaj książkę, którą teraz czytasz.",
dict,Поки ти єдиний учасник.,Поки ти єдиний учасник.,Пока ты единственный участник.,You're the only participant so far.,Na razie jesteś jedynym uczestnikiem.,
dict,Поки що немає записів. Зроби першу практику — і я почну відстежувати твій прогрес!,Поки що немає записів. Зроби першу практику — і я почну відстежувати твій прогрес!,Пока нет записей. Сделай первую практику — и я начну отслеживать твой прогресс!,No records yet. Do your first practice — and I'll start tracking your progress!,Na razie brak zapisów. Zrób pierwszą praktykę — a zacznę śledzić twój postęp!,
dict,Поки що немає збережених розмов. Почни нову — вона збережеться автоматично.,Поки що немає збережених розмов. Почни нову — вона збережеться автоматично.,Пока нет сохранённых разговоров. Начни новый — он сохранится автоматически.,No saved chats yet. Start a new one — it saves automatically.,Na razie brak zapisanych rozmów. Zacznij nową — zapisze się automatycznie.,
dict,Покращує концентрацію,Покращує концентрацію,Улучшает концентрацию,Improves concentration,Poprawia koncentrację,
dict,Покращує кровообіг,Покращує кровообіг,Улучшает кровообращение,Improves circulation,Poprawia krążenie,
dict,Покращує усвідомлення тіла,Покращує усвідомлення тіла,Улучшает осознавание тела,Improves body awareness,Poprawia świadomość ciała,
dict,Покращує фокус і настрій,Покращує фокус і настрій,Улучшает фокус и настроение,Improves focus and mood,Poprawia skupienie i nastrój,
dict,Покращує і засинання ввечері,Покращує і засинання ввечері,Улучшает и засыпание вечером,Also improves falling asleep at night,Poprawia też zasypianie wieczorem,
dict,Помилка,Помилка,Ошибка,Error,Błąd,
dict,Помилка зʼєднання.,Помилка зʼєднання.,Ошибка соединения.,Connection error.,Błąd połączenia.,
dict,Помічник,Помічник,Помощник,Assistant,Asystent,term:помічник/наставник?
dict,Попередні дані,Попередні дані,Предварительные данные,Preliminary data,Wstępne dane,
dict,Попередні дослідження є; сприйняття індивідуальне. Краще в навушниках.,Попередні дослідження є; сприйняття індивідуальне. Краще в навушниках.,Предварительные исследования есть; восприятие индивидуальное. Лучше в наушниках.,Preliminary studies exist; perception is individual. Better with headphones.,Są wstępne badania; odbiór jest indywidualny. Lepiej w słuchawkach.,
dict,порада на сьогодні,порада на сьогодні,совет на сегодня,tip for today,porada na dziś,
dict,Порожньо,Порожньо,Пусто,Empty,Pusto,
dict,Порівнюй із власним базовим рівнем,Порівнюй із власним базовим рівнем,Сравнивай с собственным базовым уровнем,Compare with your own baseline,Porównuj z własnym poziomem bazowym,
dict,Послухати частоти,Послухати частоти,Послушать частоты,Listen to frequencies,Posłuchaj częstotliwości,
dict,Постав оцінку сьогоднішнього дня,Постав оцінку сьогоднішнього дня,Оцени сегодняшний день,Rate today,Oceń dzisiejszy dzień,
dict,Постав першу ціль,Постав першу ціль,Поставь первую цель,Set your first goal,Ustaw pierwszy cel,
dict,Постав ціль ›,Постав ціль ›,Поставь цель ›,Set a goal ›,Ustaw cel ›,
dict,Постава,Постава,Осанка,Posture,Postawa,
dict,Постійні сповіщення працюють навпаки: вони дроблять увагу й підсилюють відчуття втоми.,Постійні сповіщення працюють навпаки: вони дроблять увагу й підсилюють відчуття втоми.,Постоянные уведомления работают наоборот: они дробят внимание и усиливают ощущение усталости.,Constant notifications do the opposite: they fragment attention and amplify fatigue.,Ciągłe powiadomienia działają odwrotnie: rozdrabniają uwagę i wzmagają uczucie zmęczenia.,
dict,Потягни носки стоп на себе.,Потягни носки стоп на себе.,Потяни носки стоп на себя.,Pull your toes toward you.,Pociągnij palce stóp w swoją stronę.,
dict,Почати,Почати,Начать,Start,Zacznij,
dict,Почати практику,Почати практику,Начать практику,Start a practice,Zacznij praktykę,
dict,Почати утримання,Почати утримання,Начать удержание,Start the hold,Rozpocznij wytrzymanie,
dict,Початківець,Початківець,Начинающий,Beginner,Początkujący,
dict,початок,початок,начало,start,początek,
dict,"Починай з кінцівок, дихай спокійно","Починай з кінцівок, дихай спокійно","Начинай с конечностей, дыши спокойно","Start with the limbs, breathe calmly","Zaczynaj od kończyn, oddychaj spokojnie",
dict,"Почни з малого й сталого: 1) одна дихальна практика (для старту — Когерентне або Квадратне), 2) 20–30 с прохолодного душу в кінці звичайного, 3) відмічай усе в календарі. 5 хвилин щодня кращі за годину раз на тиждень.","Почни з малого й сталого: 1) одна дихальна практика (для старту — Когерентне або Квадратне), 2) 20–30 с прохолодного душу в кінці звичайного, 3) відмічай усе в календарі. 5 хвилин щодня кращі за годину раз на тиждень.","Начни с малого и постоянного: 1) одна дыхательная практика (для старта — Когерентное или Квадратное), 2) 20–30 с прохладного душа в конце обычного, 3) отмечай всё в календаре. 5 минут ежедневно лучше часа раз в неделю.","Start small and steady: 1) one breathing practice (Coherent or Box to begin), 2) 20–30 s of cool water at the end of your usual shower, 3) log everything in the calendar. 5 minutes daily beats an hour once a week.","Zacznij od małego i systematycznego: 1) jedna praktyka oddechowa (na start — Koherentny lub Kwadratowy), 2) 20–30 s chłodnej wody na końcu zwykłego prysznica, 3) zapisuj wszystko w kalendarzu. 5 minut dziennie jest lepsze niż godzina raz w tygodniu.",
dict,Пошта,Пошта,Почта,Email,E-mail,
dict,практик,практик,практик,practices,praktyk,ru=uk?
dict,Практика,Практика,Практика,Practice,Praktyka,ru=uk?
dict,Практика від стресу,Практика від стресу,Практика от стресса,A practice for stress,Praktyka na stres,
dict,Практика для сну,Практика для сну,Практика для сна,A practice for sleep,Praktyka na sen,
dict,"Практика проста й безпечна: рівні вдих і видих приблизно по 5–6 секунд, без напруження.","Практика проста й безпечна: рівні вдих і видих приблизно по 5–6 секунд, без напруження.","Практика проста и безопасна: ровные вдох и выдох примерно по 5–6 секунд, без напряжения.","The practice is simple and safe: even inhale and exhale of about 5–6 seconds each, without strain.","Praktyka jest prosta i bezpieczna: równy wdech i wydech po około 5–6 sekund, bez napięcia.",
dict,Практика холоду,Практика холоду,Практика холода,Cold practice,Praktyka zimna,
dict,Практики,Практики,Практики,Practices,Praktyki,ru=uk?
dict,Практики (порожньо = усі),Практики (порожньо = усі),Практики (пусто = все),Practices (empty = all),Praktyki (puste = wszystkie),
dict,Практики дихання,Практики дихання,Практики дыхания,Breathing practices,Praktyki oddechowe,
dict,Практики по днях,Практики по днях,Практики по дням,Practices by day,Praktyki wg dni,
dict,"Практики тут — дихання, холод, статичні утримання, увага — це тренування адаптації. Тіло й нервова система вчаться зберігати рівновагу там, де раніше ламалися під тиском.","Практики тут — дихання, холод, статичні утримання, увага — це тренування адаптації. Тіло й нервова система вчаться зберігати рівновагу там, де раніше ламалися під тиском.","Практики здесь — дыхание, холод, статические удержания, внимание — это тренировка адаптации. Тело и нервная система учатся сохранять равновесие там, где раньше ломались под давлением.","The practices here — breathing, cold, static holds, attention — are training in adaptation. The body and nervous system learn to keep balance where they used to break under pressure.","Praktyki tutaj — oddech, zimno, statyczne wytrzymania, uwaga — to trening adaptacji. Ciało i układ nerwowy uczą się zachowywać równowagę tam, gdzie wcześniej łamały się pod presją.",
dict,Практики холоду,Практики холоду,Практики холода,Cold practices,Praktyki zimna,
dict,Практику завершено,Практику завершено,Практика завершена,Practice complete,Praktyka zakończona,
dict,Практику зупинено,Практику зупинено,Практика остановлена,Practice stopped,Praktyka zatrzymana,
dict,"Працює за секунди, не хвилини","Працює за секунди, не хвилини","Работает за секунды, не минуты","Works in seconds, not minutes","Działa w sekundy, nie minuty",
dict,Прибрати,Прибрати,Убрать,Remove,Usuń,
dict,Приватність,Приватність,Приватность,Privacy,Prywatność,
dict,Привіт! Я твій помічник Resonance. ,Привіт! Я твій помічник Resonance. ,Привет! Я твой помощник Resonance. ,Hi! I'm your Resonance assistant. ,Cześć! Jestem twoim asystentem Resonance. ,term:помічник/наставник?
dict,Приготуйся,Приготуйся,Приготовься,Get ready,Przygotuj się,
dict,Прийняти,Прийняти,Принять,Accept,Przyjmij,
dict,Прийняти участь,Прийняти участь,Присоединиться,Join,Dołącz,
dict,Прискорює відновлення мʼязів,Прискорює відновлення мʼязів,Ускоряет восстановление мышц,Speeds up muscle recovery,Przyspiesza regenerację mięśni,
dict,Прислухайся й назви 4 звуки навколо себе.,Прислухайся й назви 4 звуки навколо себе.,Прислушайся и назови 4 звука вокруг себя.,Listen and name 4 sounds around you.,Wsłuchaj się i nazwij 4 dźwięki wokół siebie.,
dict,"Прихильники називають його «заземлювальним» — таким, що допомагає розслабитися й синхронізуватися з природним ритмом планети. Корисний для спокою та м'якої медитації.","Прихильники називають його «заземлювальним» — таким, що допомагає розслабитися й синхронізуватися з природним ритмом планети. Корисний для спокою та м'якої медитації.","Сторонники называют его «заземляющим» — таким, что помогает расслабиться и синхронизироваться с природным ритмом планеты. Полезен для спокойствия и мягкой медитации.",Advocates call it «grounding» — something that helps you relax and sync with the planet's natural rhythm. Useful for calm and gentle meditation.,"Zwolennicy nazywają go „uziemiającym” — takim, który pomaga się zrelaksować i zsynchronizować z naturalnym rytmem planety. Przydatny do spokoju i łagodnej medytacji.",
dict,приховано,приховано,скрыто,hidden,ukryte,
dict,Прогин (місток),Прогин (місток),Прогиб (мостик),Backbend (bridge),Wygięcie (mostek),
dict,Прогрес прихований,Прогрес прихований,Прогресс скрыт,Progress hidden,Postęp ukryty,
dict,прогрес прихований,прогрес прихований,прогресс скрыт,progress hidden,postęp ukryty,
dict,"Прогрес — це спокій, а не лише секунди","Прогрес — це спокій, а не лише секунди","Прогресс — это спокойствие, а не только секунды","Progress is calm, not just seconds","Postęp to spokój, a nie tylko sekundy",
dict,Прогресивна м'язова релаксація,Прогресивна м'язова релаксація,Прогрессивная мышечная релаксация,Progressive muscle relaxation,Progresywna relaksacja mięśni,
dict,Прогресивна м'язова релаксація для зняття напруги.,Прогресивна м'язова релаксація для зняття напруги.,Прогрессивная мышечная релаксация для снятия напряжения.,Progressive muscle relaxation to release tension.,Progresywna relaksacja mięśni w celu zmniejszenia napięcia.,
dict,Продовжити,Продовжити,Продолжить,Resume,Wznów,
dict,Продовжити огляд,Продовжити огляд,Продолжить осмотр,Keep exploring,Kontynuuj przeglądanie,
dict,Пройди першу практику,Пройди першу практику,Пройди первую практику,Do your first practice,Wykonaj pierwszą praktykę,
dict,"Прокачуй себе, як персонажа: дихання, холод, звички, рівні розвитку.","Прокачуй себе, як персонажа: дихання, холод, звички, рівні розвитку.","Прокачивай себя, как персонажа: дыхание, холод, привычки, уровни развития.","Level yourself up like a character: breathing, cold, habits, growth levels.","Rozwijaj siebie jak postać: oddech, zimno, nawyki, poziomy rozwoju.",
dict,"Прокачуєш не аватар, а себе. Сталість важливіша за інтенсивність.","Прокачуєш не аватар, а себе. Сталість важливіша за інтенсивність.","Прокачиваешь не аватар, а себя. Постоянство важнее интенсивности.","You level up yourself, not an avatar. Consistency beats intensity.","Rozwijasz nie awatar, lecz siebie. Systematyczność ważniejsza niż intensywność.",
dict,Прокидайся в один час щодня,Прокидайся в один час щодня,Просыпайся в одно время каждый день,Wake at the same time daily,Budź się o tej samej porze każdego dnia,
dict,Пропустити,Пропустити,Пропустить,Skip,Pomiń,
dict,Просвітлений,Просвітлений,Просветлённый,Enlightened,Oświecony,
dict,"Простий протокол: вдих на 4 рахунки, видих на 6. Кілька хвилин достатньо, щоб знизити збудження.","Простий протокол: вдих на 4 рахунки, видих на 6. Кілька хвилин достатньо, щоб знизити збудження.","Простой протокол: вдох на 4 счёта, выдох на 6. Нескольких минут достаточно, чтобы снизить возбуждение.","Simple protocol: inhale for 4, exhale for 6. A few minutes is enough to lower arousal.","Prosty protokół: wdech na 4, wydech na 6. Kilka minut wystarczy, by obniżyć pobudzenie.",
dict,"Прості важелі впливу: повільне дихання з довгим видихом, холод на обличчя, спокійний голос і навіть наспівування — все це підвищує вагусний тонус.","Прості важелі впливу: повільне дихання з довгим видихом, холод на обличчя, спокійний голос і навіть наспівування — все це підвищує вагусний тонус.","Простые рычаги: медленное дыхание с долгим выдохом, холод на лицо, спокойный голос и даже напевание — всё это повышает вагусный тонус.","Simple levers: slow breathing with a long exhale, cold on the face, a calm voice, even humming — all raise vagal tone.","Proste dźwignie: powolny oddech z długim wydechem, zimno na twarz, spokojny głos, a nawet nucenie — wszystko to podnosi napięcie nerwu błędnego.",
dict,Професія,Професія,Профессия,Occupation,Zawód,
dict,Профіль,Профіль,Профиль,Profile,Profil,
dict,Прохолодна кімната — глибший сон,Прохолодна кімната — глибший сон,Прохладная комната — более глубокий сон,A cool room means deeper sleep,Chłodny pokój — głębszy sen,
dict,Прочитав,Прочитав,Прочитал,Finished,Przeczytane,
dict,прочитай 1 книгу,прочитай 1 книгу,прочитай 1 книгу,read 1 book,przeczytaj 1 książkę,ru=uk?
dict,прочитай 3,прочитай 3,прочитай 3,read 3,przeczytaj 3,ru=uk?
dict,Прочитано книг,Прочитано книг,Прочитано книг,Books read,Przeczytano książek,ru=uk?
dict,Прочитані книги й час читання.,Прочитані книги й час читання.,Прочитанные книги и время чтения.,Books read and reading time.,Przeczytane książki i czas czytania.,
dict,Прочитати книги,Прочитати книги,Прочитать книги,Read books,Przeczytać książki,
dict,Пт,Пт,Пт,Fr,Pt,
dict,"Під час видиху активність блукаючого нерва зростає, і серцевий ритм природно сповільнюється — це називають дихальною аритмією. Якщо видих довший за вдих, заспокійливий ефект сильніший.","Під час видиху активність блукаючого нерва зростає, і серцевий ритм природно сповільнюється — це називають дихальною аритмією. Якщо видих довший за вдих, заспокійливий ефект сильніший.","Во время выдоха активность блуждающего нерва растёт, и сердечный ритм естественно замедляется — это называют дыхательной аритмией. Если выдох длиннее вдоха, успокаивающий эффект сильнее.","During the exhale vagus-nerve activity rises and the heart naturally slows — this is respiratory sinus arrhythmia. If the exhale is longer than the inhale, the calming effect is stronger.","Podczas wydechu aktywność nerwu błędnego rośnie, a rytm serca naturalnie zwalnia — nazywa się to arytmią oddechową. Jeśli wydech jest dłuższy niż wdech, efekt uspokajający jest silniejszy.",
dict,Підвищує HRV (стресостійкість),Підвищує HRV (стресостійкість),Повышает ВСР (стрессоустойчивость),Raises HRV (stress resilience),Podnosi HRV (odporność na stres),
dict,Підвищує варіабельність серцевого ритму,Підвищує варіабельність серцевого ритму,Повышает вариабельность сердечного ритма,Raises heart rate variability,Podnosi zmienność rytmu serca,
dict,Підвищує ментальну стійкість,Підвищує ментальну стійкість,Повышает ментальную стойкость,Boosts mental resilience,Podnosi odporność psychiczną,
dict,Підготовка,Підготовка,Подготовка,Preparation,Przygotowanie,
dict,Підніми плечі до вух.,Підніми плечі до вух.,Подними плечи к ушам.,Raise your shoulders to your ears.,Unieś ramiona do uszu.,
dict,"Підтверди пошту, перш ніж входити.","Підтверди пошту, перш ніж входити.","Подтверди почту, прежде чем входить.",Confirm your email before signing in.,Potwierdź e-mail przed zalogowaniem.,
dict,Підтримка імунітету,Підтримка імунітету,Поддержка иммунитета,Immune support,Wsparcie odporności,
dict,Підходить для щоденного заспокоєння,Підходить для щоденного заспокоєння,Подходит для ежедневного успокоения,Good for daily calming,Nadaje się do codziennego wyciszania,
dict,разово,разово,разово,one-time,jednorazowo,ru=uk?
dict,Разом,Разом,Вместе,Together,Razem,
dict,Разом легше тримати ритм і мотивацію.,Разом легше тримати ритм і мотивацію.,Вместе легче держать ритм и мотивацию.,Together it’s easier to keep the rhythm and motivation.,Razem łatwiej utrzymać rytm i motywację.,
dict,Разом легше тримати ритм.,Разом легше тримати ритм.,Вместе легче держать ритм.,It's easier to keep the rhythm together.,Razem łatwiej trzymać rytm.,
dict,Разом легше тримати ритм: спільні челенджі й підтримка. Долучення — зі своїм акаунтом.,Разом легше тримати ритм: спільні челенджі й підтримка. Долучення — зі своїм акаунтом.,Вместе легче держать ритм: совместные челленджи и поддержка. Присоединение — со своим аккаунтом.,Together it’s easier to keep the rhythm: shared challenges and support. Joining needs your own account.,Razem łatwiej utrzymać rytm: wspólne wyzwania i wsparcie. Dołączenie — z własnym kontem.,
dict,Ранги й звання за рівнями,Ранги й звання за рівнями,Ранги и звания по уровням,Ranks and titles by level,Rangi i tytuły według poziomów,
