source,key/id,uk,es,fr,de,note
dict,Нд,Нд,Do,Di,So,
dict,Не вдалося,Не вдалося,No se pudo,Échec,Fehlgeschlagen,
dict,Не вдалося (увійди),Не вдалося (увійди),No se pudo (inicia sesión),Échec (connecte-toi),Fehlgeschlagen (melde dich an),
dict,"Не вдалося завантажити профіль. Можливо, треба увійти.","Не вдалося завантажити профіль. Можливо, треба увійти.",No se pudo cargar el perfil. Quizá tengas que iniciar sesión.,Impossible de charger le profil. Il faut peut-être te connecter.,Profil konnte nicht geladen werden. Vielleicht musst du dich anmelden.,
dict,Не вдалося завантажити стан.,Не вдалося завантажити стан.,No se pudo cargar el estado.,Impossible de charger l'état.,Status konnte nicht geladen werden.,
dict,Не вдалося завантажити.,Не вдалося завантажити.,No se pudo cargar.,Impossible de charger.,Konnte nicht laden.,
dict,"Не вдалося завантажити. Можливо, треба увійти.","Не вдалося завантажити. Можливо, треба увійти.",No se pudo cargar. Quizá tengas que iniciar sesión.,Impossible de charger. Il faut peut-être te connecter.,Konnte nicht laden. Vielleicht musst du dich anmelden.,
dict,Не вдалося зберегти,Не вдалося зберегти,No se pudo guardar,Impossible d'enregistrer,Konnte nicht speichern,
dict,Не вдалося надіслати листа.,Не вдалося надіслати листа.,No se pudo enviar el correo.,Impossible d'envoyer l'e-mail.,E-Mail konnte nicht gesendet werden.,
dict,Не вдалося обробити фото,Не вдалося обробити фото,No se pudo procesar la foto,Impossible de traiter la photo,Foto konnte nicht verarbeitet werden,
dict,Не вдалося оновити пароль.,Не вдалося оновити пароль.,No se pudo actualizar la contraseña.,Impossible de mettre à jour le mot de passe.,Passwort konnte nicht aktualisiert werden.,
dict,"Не вдалося прочитати прогрес — можливо, треба увійти.","Не вдалося прочитати прогрес — можливо, треба увійти.",No se pudo leer el progreso — quizá haya que iniciar sesión.,Impossible de lire la progression — il faut peut-être se connecter.,Fortschritt konnte nicht gelesen werden — vielleicht musst du dich anmelden.,
dict,Не вдалося створити,Не вдалося створити,No se pudo crear,Impossible de créer,Konnte nicht erstellt werden,
dict,Не вживаєш з ,Не вживаєш з ,Limpio desde ,Propre depuis ,Sauber seit ,
dict,Не вийшло,Не вийшло,No funcionó,Ça n'a pas marché,Hat nicht geklappt,
dict,Не втрать серію,Не втрать серію,No pierdas la racha,Ne perds pas ta série,Verlier deine Serie nicht,
dict,Не затримуй дихання під час утримання,Не затримуй дихання під час утримання,No aguantes la respiración durante la retención,Ne bloque pas ta respiration pendant le maintien,Halte während der Haltung nicht die Luft an,
dict,Не затримуй дихання різко в холоді,Не затримуй дихання різко в холоді,No retengas la respiración de golpe en el frío,Ne retiens pas ta respiration brusquement dans le froid,Halte im Kalten nicht abrupt die Luft an,
dict,Не збережено,Не збережено,No guardado,Non enregistré,Nicht gespeichert,
dict,Не збережено (немає зʼєднання чи входу),Не збережено (немає зʼєднання чи входу),No guardado (sin conexión o sin sesión),Non enregistré (pas de connexion ni de session),Nicht gespeichert (keine Verbindung oder Anmeldung),
dict,Не знаєш з чого почати?,Не знаєш з чого почати?,¿No sabes por dónde empezar?,Tu ne sais pas par où commencer ?,"Weißt du nicht, wo du anfangen sollst?",
dict,Не пам'ятаєш пароль?,Не пам'ятаєш пароль?,¿Olvidaste la contraseña?,Mot de passe oublié ?,Passwort vergessen?,
dict,"Не поспішай. На кожному кроці справді знайди названу кількість речей, перш ніж іти далі.","Не поспішай. На кожному кроці справді знайди названу кількість речей, перш ніж іти далі.","No te apresures. En cada paso, encuentra de verdad el número indicado de cosas antes de continuar.","Ne te presse pas. À chaque étape, trouve vraiment le nombre indiqué de choses avant de continuer.","Beeil dich nicht. Finde bei jedem Schritt wirklich die genannte Anzahl an Dingen, bevor du weitergehst.",
dict,"Не практикуй у воді, за кермом або стоячи. Можливе запаморочення.","Не практикуй у воді, за кермом або стоячи. Можливе запаморочення.","No practiques en el agua, al conducir ni de pie. Puede dar mareo.","Ne pratique pas dans l'eau, au volant ni debout. Des vertiges sont possibles.","Übe nicht im Wasser, am Steuer oder im Stehen. Schwindel ist möglich.",
dict,Невпинний,Невпинний,Incansable,Infatigable,Unermüdlich,
dict,Невідома практика.,Невідома практика.,Práctica desconocida.,Pratique inconnue.,Unbekannte Praktik.,
dict,Невірна дата,Невірна дата,Fecha no válida,Date invalide,Ungültiges Datum,
dict,Невірна пошта або пароль.,Невірна пошта або пароль.,Correo o contraseña incorrectos.,E-mail ou mot de passe incorrect.,Falsche E-Mail oder falsches Passwort.,
dict,Незворушний,Незворушний,Imperturbable,Imperturbable,Unerschütterlich,
dict,Незламна Воля,Незламна Воля,Voluntad inquebrantable,Volonté inébranlable,Unbeugsamer Wille,
dict,Незламний,Незламний,Inquebrantable,Inébranlable,Unbeugsam,
dict,Немає акаунту? Зареєструватися,Немає акаунту? Зареєструватися,¿No tienes cuenta? Regístrate,Pas de compte ? Inscris-toi,Kein Konto? Registrieren,
dict,Немає активних челенджів,Немає активних челенджів,No hay retos activos,Aucun défi actif,Keine aktiven Challenges,
dict,Немає активності.,Немає активності.,Sin actividad.,Aucune activité.,Keine Aktivität.,
dict,Немає записів,Немає записів,Sin registros,Aucun enregistrement,Keine Einträge,
dict,Немає звичок. Додай їх у розділі «Звички».,Немає звичок. Додай їх у розділі «Звички».,No hay hábitos. Añádelos en la sección «Hábitos».,Aucune habitude. Ajoute-les dans la section « Habitudes ».,Keine Gewohnheiten. Füge sie im Bereich „Gewohnheiten“ hinzu.,
dict,Немає нових запрошень.,Немає нових запрошень.,No hay invitaciones nuevas.,Aucune nouvelle invitation.,Keine neuen Einladungen.,
dict,Немає нових сповіщень.,Немає нових сповіщень.,No hay notificaciones nuevas.,Aucune nouvelle notification.,Keine neuen Benachrichtigungen.,
dict,Немає оцінки за цей день.,Немає оцінки за цей день.,No hay valoración para este día.,Aucune note pour cette journée.,Keine Bewertung für diesen Tag.,
dict,Немає оцінок,Немає оцінок,Sin valoraciones,Aucune note,Keine Bewertungen,
dict,Немає челенджів,Немає челенджів,No hay retos,Aucun défi,Keine Challenges,
dict,"Нижня панель навігації. Перетягуй за ≡, щоб задати свій порядок. До 6 пунктів.","Нижня панель навігації. Перетягуй за ≡, щоб задати свій порядок. До 6 пунктів.",Barra de navegación inferior. Arrastra por ≡ para fijar tu orden. Hasta 6 elementos.,Barre de navigation du bas. Fais glisser par ≡ pour définir ton ordre. Jusqu'à 6 éléments.,"Untere Navigationsleiste. Zieh am ≡, um deine Reihenfolge festzulegen. Bis zu 6 Einträge.",
dict,"Нижня панель навігації. Утримай пункт і перетягни, щоб змінити порядок. До 4 у меню — решта у бічній панелі.","Нижня панель навігації. Утримай пункт і перетягни, щоб змінити порядок. До 4 у меню — решта у бічній панелі.",Barra de navegación inferior. Mantén pulsado un elemento y arrástralo para reordenar. Hasta 4 en el menú; el resto en el panel lateral.,Barre de navigation inférieure. Appuie longuement sur un élément et fais-le glisser pour réordonner. Jusqu'à 4 dans le menu — le reste dans le panneau latéral.,"Untere Navigationsleiste. Halte einen Eintrag gedrückt und ziehe ihn, um die Reihenfolge zu ändern. Bis zu 4 im Menü — der Rest in der Seitenleiste.",
dict,"Нижня панель навігації. Утримай пункт і перетягни, щоб змінити порядок. До 6 пунктів.","Нижня панель навігації. Утримай пункт і перетягни, щоб змінити порядок. До 6 пунктів.",Barra de navegación inferior. Mantén pulsado un elemento y arrástralo para reordenar. Hasta 6 elementos.,Barre de navigation inférieure. Appuie longuement sur un élément et fais-le glisser pour réordonner. Jusqu'à 6 éléments.,"Untere Navigationsleiste. Halte einen Eintrag gedrückt und ziehe ihn, um die Reihenfolge zu ändern. Bis zu 6 Einträge.",
dict,"Нижче видно, скільки відсотків кожної практики йде в яку навичку.","Нижче видно, скільки відсотків кожної практики йде в яку навичку.",Abajo puedes ver qué porcentaje de cada práctica va a cada habilidad.,"Ci-dessous, tu peux voir quel pourcentage de chaque pratique va à quelle compétence.","Unten siehst du, wie viel Prozent jeder Praxis in welche Fähigkeit geht.",
dict,Нова винагорода,Нова винагорода,Nueva recompensa,Nouvelle récompense,Neue Belohnung,
dict,Нова книга,Нова книга,Nuevo libro,Nouveau livre,Neues Buch,
dict,Нова розмова,Нова розмова,Nueva conversación,Nouvelle conversation,Neue Unterhaltung,
dict,Нова ціль,Нова ціль,Nuevo objetivo,Nouvel objectif,Neues Ziel,
dict,Новачок,Новачок,Novato,Novice,Neuling,
dict,Нове завдання,Нове завдання,Nueva tarea,Nouvelle tâche,Neue Aufgabe,
dict,Новий пароль,Новий пароль,Nueva contraseña,Nouveau mot de passe,Neues Passwort,
dict,Новий рівень!,Новий рівень!,¡Nuevo nivel!,Nouveau niveau !,Neues Level!,
dict,Новий челендж,Новий челендж,Nuevo reto,Nouveau défi,Neue Challenge,
dict,Новини,Новини,Novedades,Actualités,Neuigkeiten,
dict,Норадреналін і дофамін ростуть надовго,Норадреналін і дофамін ростуть надовго,La noradrenalina y la dopamina suben por horas,Noradrénaline et dopamine montent longtemps,Noradrenalin und Dopamin steigen lange an,
dict,Нотатка,Нотатка,Nota,Note,Notiz,
dict,Нотатки,Нотатки,Notas,Notes,Notizen,
dict,Нікого не знайдено.,Нікого не знайдено.,No se encontró a nadie.,Personne trouvé.,Niemand gefunden.,
dict,Ніколи не практикуй у воді чи за кермом,Ніколи не практикуй у воді чи за кермом,Nunca practiques en el agua ni al conducir,Ne pratique jamais dans l'eau ni au volant,Übe niemals im Wasser oder am Steuer,
dict,Нікотин,Нікотин,Nicotina,Nicotine,Nikotin,
dict,Нікотин і Алкоголь: 100 дн без зривів,Нікотин і Алкоголь: 100 дн без зривів,Nicotina y Alcohol: 100 días sin recaídas,Nicotine et Alcool : 100 jours sans rechute,Nikotin und Alkohol: 100 Tage ohne Rückfall,
dict,Нічого не знайдено.,Нічого не знайдено.,No se encontró nada.,Rien trouvé.,Nichts gefunden.,
dict,Об'єм порції,Об'єм порції,Tamaño de la porción,Taille de la portion,Portionsgröße,
dict,"Обери практику — таймер поведе тебе крок за кроком. У демо їх можна роздивитись, а проходити — вже зі своїм акаунтом.","Обери практику — таймер поведе тебе крок за кроком. У демо їх можна роздивитись, а проходити — вже зі своїм акаунтом.","Elige una práctica: el temporizador te guiará paso a paso. En la demo puedes verlas; para hacerlas, ya con tu propia cuenta.","Choisis une pratique — le minuteur te guidera pas à pas. En démo, tu peux les regarder ; pour les faire — avec ton propre compte.",Wähle eine Praxis — der Timer führt dich Schritt für Schritt. In der Demo kannst du sie ansehen; um sie zu machen — mit deinem eigenen Konto.,
dict,Обери техніку — кожна веде на свою сторінку з описом і таймером.,Обери техніку — кожна веде на свою сторінку з описом і таймером.,Elige una técnica: cada una abre su página con descripción y temporizador.,Choisis une technique : chacune ouvre sa page avec description et minuteur.,Wähle eine Technik — jede führt zu ihrer Seite mit Beschreibung und Timer.,
dict,Обери формат — кожен веде на свою сторінку з описом і таймером.,Обери формат — кожен веде на свою сторінку з описом і таймером.,Elige un formato: cada uno abre su página con descripción y temporizador.,Choisis un format : chacun ouvre sa page avec description et minuteur.,Wähle ein Format — jedes führt zu seiner Seite mit Beschreibung und Timer.,
dict,Обери хоча б один розділ,Обери хоча б один розділ,Elige al menos una sección,Choisis au moins une section,Wähle mindestens einen Abschnitt,
dict,"Обери частоту — на сторінці буде опис, користь і кілька треків у YouTube Music на вибір.","Обери частоту — на сторінці буде опис, користь і кілька треків у YouTube Music на вибір.","Elige una frecuencia: la página tiene descripción, beneficios y varios temas de YouTube Music para elegir.","Choisis une fréquence : la page a une description, des bienfaits et quelques titres YouTube Music au choix.","Wähle eine Frequenz — die Seite hat Beschreibung, Nutzen und ein paar YouTube-Music-Titel zur Auswahl.",
dict,"Обери, що включити у звіт:","Обери, що включити у звіт:",Elige qué incluir en el informe:,Choisis ce qu'il faut inclure dans le rapport :,"Wähle, was in den Bericht aufgenommen wird:",
dict,Оберіть хоча б одну звичку,Оберіть хоча б одну звичку,Elige al menos un hábito,Choisis au moins une habitude,Wähle mindestens eine Gewohnheit,
dict,Обличчя,Обличчя,Cara,Visage,Gesicht,
dict,Обміняти,Обміняти,Canjear,Échanger,Einlösen,
dict,Обід,Обід,Mediodía,Midi,Mittag,
dict,Оглянути в демо режимі,Оглянути в демо режимі,Explorar en modo demo,Explorer en mode démo,Im Demo-Modus erkunden,
dict,Одна практика підтримає серію.,Одна практика підтримає серію.,Una práctica mantiene la racha.,Une pratique maintient la série.,Eine Praktik hält die Serie.,
dict,Однаковий час підйому щодня стабілізує циркадний ритм сильніше за ґаджети.,Однаковий час підйому щодня стабілізує циркадний ритм сильніше за ґаджети.,Levantarse a la misma hora cada día estabiliza el ritmo circadiano más que los gadgets.,Se lever à la même heure chaque jour stabilise le rythme circadien plus que les gadgets.,Dieselbe Aufstehzeit täglich stabilisiert den zirkadianen Rhythmus stärker als Gadgets.,
dict,Окремо від рівня ти заробляєш очки навичок: 1 хвилина практики = 1 очко. Кожна практика розподіляє очки між навичками за фіксованим вектором — одна дія може качати кілька навичок водночас.,Окремо від рівня ти заробляєш очки навичок: 1 хвилина практики = 1 очко. Кожна практика розподіляє очки між навичками за фіксованим вектором — одна дія може качати кілька навичок водночас.,"Aparte del nivel, ganas puntos de habilidad: 1 minuto de práctica = 1 punto. Cada práctica reparte los puntos entre las habilidades según un vector fijo: una sola acción puede mejorar varias habilidades a la vez.","Indépendamment du niveau, tu gagnes des points de compétence : 1 minute de pratique = 1 point. Chaque pratique répartit les points entre les compétences selon un vecteur fixe — une seule action peut développer plusieurs compétences à la fois.",Unabhängig vom Level verdienst du Fähigkeitspunkte: 1 Minute Praxis = 1 Punkt. Jede Praxis verteilt die Punkte nach einem festen Vektor auf die Fähigkeiten — eine Handlung kann mehrere Fähigkeiten zugleich trainieren.,
dict,Олександр,Олександр,Alejandro,Alexandre,Alexander,
dict,Оновити оцінку,Оновити оцінку,Actualizar valoración,Mettre à jour la note,Bewertung aktualisieren,
dict,Опиши свій стан або проблему — наставник підкаже крок.,Опиши свій стан або проблему — наставник підкаже крок.,Describe tu estado o problema y el mentor te sugerirá un paso.,Décris ton état ou ton problème — le mentor te proposera une étape.,Beschreibe deinen Zustand oder dein Problem — der Mentor schlägt einen Schritt vor.,
dict,"Опора на одне передпліччя, тіло боком у пряму лінію. Таз не провисає. Зроби обидві сторони.","Опора на одне передпліччя, тіло боком у пряму лінію. Таз не провисає. Зроби обидві сторони.","Apóyate en un antebrazo, el cuerpo de lado en línea recta. La cadera no se hunde. Haz ambos lados.","Appuie-toi sur un avant-bras, le corps de côté en ligne droite. Le bassin ne s'affaisse pas. Fais les deux côtés.","Stütze dich auf einen Unterarm, der Körper seitlich in einer geraden Linie. Das Becken sackt nicht ab. Mach beide Seiten.",
dict,Орієнтир спальні — близько 18–19 °C,Орієнтир спальні — близько 18–19 °C,Referencia para el dormitorio: unos 18–19 °C,Repère pour la chambre : environ 18–19 °C,Richtwert fürs Schlafzimmer — etwa 18–19 °C,
dict,Орієнтир — 5–6 дихань за хвилину,Орієнтир — 5–6 дихань за хвилину,Referencia — 5–6 respiraciones por minuto,Repère — 5–6 respirations par minute,Richtwert — 5–6 Atemzüge pro Minute,
dict,Орієнтир: вдих 4 — видих 6,Орієнтир: вдих 4 — видих 6,Referencia: inhala 4 — exhala 6,Repère : inspire 4 — expire 6,Richtwert: 4 ein — 6 aus,
dict,Основний трек,Основний трек,Pista principal,Piste principale,Haupttitel,
dict,"Особисті цілі з автоматичним прогресом — він рахується сам із твоїх практик, звичок і книг.","Особисті цілі з автоматичним прогресом — він рахується сам із твоїх практик, звичок і книг.","Objetivos personales con progreso automático: se cuenta solo a partir de tus prácticas, hábitos y libros.","Objectifs personnels avec progression automatique — elle se compte d'elle-même à partir de tes pratiques, habitudes et livres.","Persönliche Ziele mit automatischem Fortschritt — er zählt sich selbst aus deinen Praktiken, Gewohnheiten und Büchern.",
dict,Особисті цілі з автоматичним прогресом.,Особисті цілі з автоматичним прогресом.,Objetivos personales con progreso automático.,Objectifs personnels avec progression automatique.,Persönliche Ziele mit automatischem Fortschritt.,
dict,"Особисті цілі, прогрес яких рахується автоматично — з твоїх практик, звичок і книг. На головній показуються активні цілі.","Особисті цілі, прогрес яких рахується автоматично — з твоїх практик, звичок і книг. На головній показуються активні цілі.","Objetivos personales cuyo progreso se cuenta automáticamente: de tus prácticas, hábitos y libros. La pantalla principal muestra los objetivos activos.","Des objectifs personnels dont la progression est comptée automatiquement — à partir de tes pratiques, habitudes et livres. L'écran d'accueil affiche les objectifs actifs.","Persönliche Ziele, deren Fortschritt automatisch gezählt wird — aus deinen Praktiken, Gewohnheiten und Büchern. Der Startbildschirm zeigt die aktiven Ziele.",
dict,Останні 14 днів,Останні 14 днів,Últimos 14 días,14 derniers jours,Letzte 14 Tage,
dict,Останні 7 днів,Останні 7 днів,Últimos 7 días,7 derniers jours,Letzte 7 Tage,
dict,Отримано 🎉,Отримано 🎉,Reclamado 🎉,Obtenu 🎉,Erhalten 🎉,
dict,Отримані,Отримані,Reclamadas,Obtenues,Erhaltene,
dict,Отримати,Отримати,Reclamar,Obtenir,Erhalten,
dict,Отримувати нагадування,Отримувати нагадування,Recibir recordatorios,Recevoir des rappels,Erinnerungen erhalten,
dict,Оціни день у три періоди за 100-бальною шкалою.,Оціни день у три періоди за 100-бальною шкалою.,Valora el día en tres períodos en una escala de 100 puntos.,Note la journée en trois périodes sur une échelle de 100 points.,Bewerte den Tag in drei Abschnitten auf einer 100-Punkte-Skala.,
dict,Оціни кілька днів — і тут з'явиться динаміка твого самопочуття.,Оціни кілька днів — і тут з'явиться динаміка твого самопочуття.,Valora unos días y aquí aparecerá la evolución de cómo te sientes.,Note quelques jours — et la tendance de ton ressenti apparaîtra ici.,Bewerte ein paar Tage — und hier erscheint der Verlauf deines Befindens.,
dict,Оціни свій день,Оціни свій день,Valora tu día,Note ta journée,Bewerte deinen Tag,
dict,Оцінити день,Оцінити день,Valorar el día,Noter la journée,Tag bewerten,
dict,Оцінка,Оцінка,Valoración,Note,Bewertung,
dict,Оцінка дня,Оцінка дня,Valoración del día,Note du jour,Tagesbewertung,
dict,Оцінка сьогодні,Оцінка сьогодні,Valoración de hoy,Note d'aujourd'hui,Heutige Bewertung,
dict,Оцінки,Оцінки,Valoraciones,Notes,Bewertungen,
dict,Оцінки · 7 днів,Оцінки · 7 днів,Valoraciones · 7 días,Notes · 7 jours,Bewertungen · 7 Tage,
dict,Оцінки днів,Оцінки днів,Valoraciones de los días,Notes des jours,Tagesbewertungen,
dict,Оцінки по днях,Оцінки по днях,Valoraciones por día,Notes par jour,Bewertungen nach Tagen,
dict,Оцінки по днях з коментарем,Оцінки по днях з коментарем,Valoraciones por día con comentario,Notes par jour avec commentaire,Bewertungen nach Tagen mit Kommentar,
dict,Оцінки і коментарі,Оцінки і коментарі,Valoraciones y comentarios,Notes et commentaires,Bewertungen und Kommentare,
dict,Оцінку збережено,Оцінку збережено,Valoración guardada,Note enregistrée,Bewertung gespeichert,
dict,"Оцінюй самопочуття вранці, вдень і ввечері — і бачитимеш динаміку за тиждень, а наставник враховуватиме її в порадах.","Оцінюй самопочуття вранці, вдень і ввечері — і бачитимеш динаміку за тиждень, а наставник враховуватиме її в порадах.","Valora cómo te sientes por la mañana, al mediodía y por la tarde, y verás la evolución de la semana; el mentor la tendrá en cuenta en sus consejos.","Note ton ressenti le matin, à midi et le soir — tu verras la tendance de la semaine, et le mentor en tiendra compte dans ses conseils.","Bewerte dein Befinden morgens, mittags und abends — du siehst den Wochenverlauf, und der Mentor berücksichtigt ihn in seinen Tipps.",
dict,Очки навичок,Очки навичок,Puntos de habilidad,Points de compétence,Fähigkeitspunkte,
dict,Пам'ять,Пам'ять,Memoria,Mémoire,Gedächtnis,
dict,Пароль,Пароль,Contraseña,Mot de passe,Passwort,
dict,Пароль має бути від 6 символів.,Пароль має бути від 6 символів.,La contraseña debe tener al menos 6 caracteres.,Le mot de passe doit comporter au moins 6 caractères.,Das Passwort muss mindestens 6 Zeichen haben.,
dict,Пароль має бути від 8 символів.,Пароль має бути від 8 символів.,La contraseña debe tener al menos 8 caracteres.,Le mot de passe doit comporter au moins 8 caractères.,Das Passwort muss mindestens 8 Zeichen haben.,
dict,Пароль оновлено.,Пароль оновлено.,Contraseña actualizada.,Mot de passe mis à jour.,Passwort aktualisiert.,
dict,Пауза,Пауза,Pausa,Pause,Pause,
dict,Передпліччя,Передпліччя,Antebrazos,Avant-bras,Unterarme,
dict,"Передпліччя й носки на підлозі, тіло — пряма лінія від голови до пʼят. Не провисай у попереку, дихай рівно. Тримай, скільки можеш із гарною технікою.","Передпліччя й носки на підлозі, тіло — пряма лінія від голови до пʼят. Не провисай у попереку, дихай рівно. Тримай, скільки можеш із гарною технікою.","Antebrazos y puntas de los pies en el suelo, el cuerpo en línea recta de la cabeza a los talones. No hundas la zona lumbar, respira parejo. Mantén todo lo que puedas con buena técnica.","Avant-bras et pointes de pieds au sol, le corps en ligne droite de la tête aux talons. Ne creuse pas le bas du dos, respire régulièrement. Tiens aussi longtemps que possible avec une bonne technique.","Unterarme und Fußspitzen am Boden, Körper eine gerade Linie von Kopf bis Ferse. Nicht im unteren Rücken durchhängen, gleichmäßig atmen. Halte, so lange du mit guter Technik kannst.",
dict,Перейменувати,Перейменувати,Renombrar,Renommer,Umbenennen,
dict,Перейти до Розвитку,Перейти до Розвитку,Ir a Desarrollo,Aller au Développement,Zur Entwicklung,
dict,Перейти до Цілей ›,Перейти до Цілей ›,Ir a Objetivos ›,Aller aux Objectifs ›,Zu den Zielen ›,
dict,Перша вправа,Перша вправа,Primer ejercicio,Premier exercice,Erste Übung,
dict,Перша затримка,Перша затримка,Primera retención,Première rétention,Erste Atempause,
dict,Перша книга,Перша книга,Primer libro,Premier livre,Erstes Buch,
dict,Перша медитація,Перша медитація,Primera meditación,Première méditation,Erste Meditation,
dict,Перша практика!,Перша практика!,¡Primera práctica!,Première pratique !,Erste Praxis!,
dict,Перший холод,Перший холод,Primer frío,Premier froid,Erste Kälte,
dict,Період,Період,Periodo,Période,Zeitraum,
dict,Період: ,Період: ,Período: ,Période : ,Zeitraum: ,
dict,Планка,Планка,Plancha,Planche,Plank,
dict,"Планка, прогин — утримання","Планка, прогин — утримання","Plancha, arco — retenciones","Planche, cambré — maintiens","Plank, Rückbeuge — Haltungen",
dict,Плечі,Плечі,Hombros,Épaules,Schultern,
dict,Пн,Пн,Lu,Lu,Mo,
dict,По черзі напружуй (~7 с) і повністю розслабляй (~12 с) групи м'язів — від кистей до стоп. Не напружуйся до болю.,По черзі напружуй (~7 с) і повністю розслабляй (~12 с) групи м'язів — від кистей до стоп. Не напружуйся до болю.,"Tensa (~7 s) y relaja por completo (~12 s), por turnos, cada grupo muscular, de las manos a los pies. No tenses hasta el dolor.","Contracte (~7 s) puis relâche complètement (~12 s), tour à tour, chaque groupe musculaire — des mains aux pieds. Ne te contracte pas jusqu'à la douleur.",Spanne (~7 s) und entspanne vollständig (~12 s) nacheinander die Muskelgruppen — von den Händen bis zu den Füßen. Spanne nicht bis zum Schmerz an.,
dict,Побудь у повному розслабленні. Все тіло відпочиває.,Побудь у повному розслабленні. Все тіло відпочиває.,Quédate en total relajación. Todo el cuerpo descansa.,Reste dans une détente totale. Tout le corps se repose.,Bleib in völliger Entspannung. Der ganze Körper ruht.,
dict,Побудь у спокої. Потім повільно поворуши пальцями й розплющ очі.,Побудь у спокої. Потім повільно поворуши пальцями й розплющ очі.,Quédate en calma. Luego mueve despacio los dedos y abre los ojos.,Reste dans le calme. Puis bouge lentement les doigts et ouvre les yeux.,Bleib in Ruhe. Bewege dann langsam die Finger und öffne die Augen.,
dict,Повертає у момент «тут і зараз»,Повертає у момент «тут і зараз»,Te devuelve al «aquí y ahora»,Te ramène à l'« ici et maintenant »,Bringt dich ins „Hier und Jetzt“ zurück,
dict,"Повисни на прямих руках, плечі активні. Розслаб хребет. Тримай, скільки комфортно для хвата.","Повисни на прямих руках, плечі активні. Розслаб хребет. Тримай, скільки комфортно для хвата.","Cuélgate con los brazos rectos, hombros activos. Relaja la columna. Mantén tanto como el agarre sea cómodo.","Suspends-toi bras tendus, épaules actives. Relâche la colonne. Tiens tant que la prise reste confortable.","Häng an gestreckten Armen, Schultern aktiv. Entspanne die Wirbelsäule. Halte, solange der Griff bequem ist.",
dict,"Повністю відпусти напругу. Відчуй, як м'яз стає важким і теплим.","Повністю відпусти напругу. Відчуй, як м'яз стає важким і теплим.",Suelta por completo la tensión. Siente cómo el músculo se vuelve pesado y cálido.,Relâche complètement la tension. Sens le muscle devenir lourd et chaud.,"Lass die Anspannung völlig los. Spüre, wie der Muskel schwer und warm wird.",
dict,Повторюй подумки короткі формули про важкість і тепло в тілі — це вмикає розслаблення нервової системи.,Повторюй подумки короткі формули про важкість і тепло в тілі — це вмикає розслаблення нервової системи.,Repite mentalmente frases breves sobre la pesadez y el calor en el cuerpo: eso activa la relajación del sistema nervioso.,Répète mentalement de courtes formules sur la lourdeur et la chaleur dans le corps — cela déclenche la relaxation du système nerveux.,Wiederhole innerlich kurze Formeln über Schwere und Wärme im Körper — das schaltet die Entspannung des Nervensystems ein.,
dict,Повільне дихання близько 5–6 циклів за хвилину підвищує варіабельність серцевого ритму.,Повільне дихання близько 5–6 циклів за хвилину підвищує варіабельність серцевого ритму.,"Respirar despacio, unos 5–6 ciclos por minuto, aumenta la variabilidad de la frecuencia cardíaca.","Une respiration lente, environ 5–6 cycles par minute, augmente la variabilité de la fréquence cardiaque.","Langsames Atmen, etwa 5–6 Zyklen pro Minute, erhöht die Herzratenvariabilität.",
dict,"Повільне рівне дихання ~5,5 секунди вдих і видих (≈5,5 циклів за хвилину). Максимізує варіабельність серцевого ритму (HRV) — показник стресостійкості й балансу нервової системи.","Повільне рівне дихання ~5,5 секунди вдих і видих (≈5,5 циклів за хвилину). Максимізує варіабельність серцевого ритму (HRV) — показник стресостійкості й балансу нервової системи.","Respiración lenta y uniforme, ~5,5 segundos de inhalación y exhalación (≈5,5 ciclos por minuto). Maximiza la variabilidad de la frecuencia cardíaca (VFC): un indicador de resistencia al estrés y equilibrio del sistema nervioso.","Respiration lente et régulière, ~5,5 secondes à l'inspiration et à l'expiration (≈5,5 cycles par minute). Maximise la variabilité de la fréquence cardiaque (VFC) — un indicateur de résistance au stress et d'équilibre du système nerveux.","Langsames, gleichmäßiges Atmen, ~5,5 Sekunden Ein- und Ausatmen (≈5,5 Zyklen pro Minute). Maximiert die Herzratenvariabilität (HRV) — ein Indikator für Stressresistenz und das Gleichgewicht des Nervensystems.",
dict,Повільне рівне дихання за патерном на екрані.,Повільне рівне дихання за патерном на екрані.,Respiración lenta y uniforme según el patrón en pantalla.,Respiration lente et régulière selon le motif à l'écran.,"Langsames, gleichmäßiges Atmen nach dem Muster auf dem Bildschirm.",
dict,"Повільно проведи увагою по тілу від маківки до стоп, помічаючи й відпускаючи напругу в кожній ділянці.","Повільно проведи увагою по тілу від маківки до стоп, помічаючи й відпускаючи напругу в кожній ділянці.","Lleva la atención despacio por el cuerpo, de la coronilla a los pies, notando y soltando la tensión en cada zona.","Promène lentement ton attention à travers le corps, du sommet du crâne aux pieds, en repérant et en relâchant la tension dans chaque zone.",Führe die Aufmerksamkeit langsam durch den Körper vom Scheitel bis zu den Füßen und bemerke und löse die Anspannung in jedem Bereich.,
dict,Погляд удалечінь і природа відновлюють фокус,Погляд удалечінь і природа відновлюють фокус,Mirar a lo lejos y la naturaleza recuperan el foco,Regarder au loin et la nature restaurent le focus,Blick in die Ferne und Natur stellen den Fokus wieder her,
